2026-03-24 22:44:17,244 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:17,248 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:17,250 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:17,544 | INFO | OrchestratorCore | 状态切换: SEARCH -> AUTOSEARCH (目标丢失，自动搜索)
2026-03-24 22:44:17,546 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 4, 'queue_depth': 1}
2026-03-24 22:44:17,547 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:17,550 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 2, 'queue_depth': 1}
2026-03-24 22:44:17,552 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:17,557 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:18,117 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 105, 'transport': 'tcp'}
2026-03-24 22:44:18,118 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:18,553 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 5, 'queue_depth': 1}
2026-03-24 22:44:18,560 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:18,574 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:18,575 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:19,653 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 6, 'queue_depth': 1}
2026-03-24 22:44:19,654 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:19,658 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:19,659 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:20,653 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 7, 'queue_depth': 1}
2026-03-24 22:44:20,654 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:20,657 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:20,657 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:20,852 | INFO | OrchestratorCore | 状态切换: AUTOSEARCH -> SEARCH (重新发现目标)
2026-03-24 22:44:20,852 | INFO | OrchestratorService | tts_event_out | async_enqueue | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'async_enqueue', 'seq': 3, 'queue_depth': 1}
2026-03-24 22:44:20,853 | INFO | OrchestratorService | tts_event_out | send_attempt | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'send_attempt', 'size': 104, 'transport': 'tcp'}
2026-03-24 22:44:20,854 | WARNING | OrchestratorService | tts_event_out | connect_failed | extra={'src': 'ipc', 'name': 'tts_event_out', 'event': 'connect_failed', 'error': '[Errno 111] Connection refused', 'transport': 'tcp'}
2026-03-24 22:44:21,653 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 8, 'queue_depth': 1}
2026-03-24 22:44:21,654 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:21,660 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:21,664 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:22,655 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 9, 'queue_depth': 1}
2026-03-24 22:44:22,660 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:22,668 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:22,669 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:23,658 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 10, 'queue_depth': 1}
2026-03-24 22:44:23,658 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 143, 'transport': 'tcp'}
2026-03-24 22:44:23,661 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:23,662 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:24,660 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 11, 'queue_depth': 1}
2026-03-24 22:44:24,660 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:24,664 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:24,665 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:25,661 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 12, 'queue_depth': 1}
2026-03-24 22:44:25,662 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:25,663 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:25,664 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:26,663 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 13, 'queue_depth': 1}
2026-03-24 22:44:26,663 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 143, 'transport': 'tcp'}
2026-03-24 22:44:26,668 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:26,669 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:27,667 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 14, 'queue_depth': 1}
2026-03-24 22:44:27,668 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:27,672 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:27,675 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:28,669 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 15, 'queue_depth': 1}
2026-03-24 22:44:28,670 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:28,673 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:28,674 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:29,675 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 16, 'queue_depth': 1}
2026-03-24 22:44:29,675 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:29,680 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:29,681 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:30,681 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 17, 'queue_depth': 1}
2026-03-24 22:44:30,682 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 143, 'transport': 'tcp'}
2026-03-24 22:44:30,683 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:30,683 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:31,687 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 18, 'queue_depth': 1}
2026-03-24 22:44:31,689 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:31,692 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:31,696 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:32,689 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 19, 'queue_depth': 1}
2026-03-24 22:44:32,689 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 143, 'transport': 'tcp'}
2026-03-24 22:44:32,694 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:32,696 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:33,693 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 20, 'queue_depth': 1}
2026-03-24 22:44:33,693 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
2026-03-24 22:44:33,695 | INFO | OrchestratorService | vision_req_out | connected | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'connected', 'transport': 'tcp', 'recovered': False, 'prev_state': 'CONNECTING'}
2026-03-24 22:44:33,696 | INFO | OrchestratorService | vision_req_out | send_ok | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_ok'}
2026-03-24 22:44:34,695 | INFO | OrchestratorService | vision_req_out | async_enqueue | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'async_enqueue', 'seq': 21, 'queue_depth': 1}
2026-03-24 22:44:34,695 | INFO | OrchestratorService | vision_req_out | send_attempt | extra={'src': 'ipc', 'name': 'vision_req_out', 'event': 'send_attempt', 'size': 144, 'transport': 'tcp'}
